Parish;Quarters;Price
Olivais;2ndQ2022;2785
São Domingos de Benfica;1stq2018;2614
São Domingos de Benfica;2ndQ2018;2737
São Domingos de Benfica;3rdQ2018;2838
São Domingos de Benfica;4thQ2018;2947
São Domingos de Benfica;1stq2019;3055
São Domingos de Benfica;2ndQ2019;3128
São Domingos de Benfica;3rdQ2019;3286
São Domingos de Benfica;4thQ2019;3333
São Domingos de Benfica;1stq2020;3412
São Domingos de Benfica;2ndQ2020;3385
São Domingos de Benfica;3rdQ2020;3333
São Domingos de Benfica;4thQ2020;3333
São Domingos de Benfica;1stq2021;3307
São Domingos de Benfica;2ndQ2021;3350
São Domingos de Benfica;3rdQ2021;3385
São Domingos de Benfica;4thQ2021;3385
São Domingos de Benfica;1stq2022;3469
São Domingos de Benfica;2ndQ2022;3530
Alvalade;1stq2018;2957
Alvalade;2ndQ2018;3087
Alvalade;3rdQ2018;3173
Alvalade;4thQ2018;3260
Alvalade;1stq2019;3304
Alvalade;2ndQ2019;3350
Alvalade;3rdQ2019;3429
Alvalade;4thQ2019;3547
Alvalade;1stq2020;3623
Alvalade;2ndQ2020;3634
Alvalade;3rdQ2020;3623
Alvalade;4thQ2020;3623
Alvalade;1stq2021;3415
Alvalade;2ndQ2021;3704
Alvalade;3rdQ2021;3748
Alvalade;4thQ2021;3748
Alvalade;1stq2022;3944
Alvalade;2ndQ2022;4103
Areeiro;1stq2018;2550
Areeiro;2ndQ2018;2701
Areeiro;3rdQ2018;2729
Areeiro;4thQ2018;2905
Areeiro;1stq2019;3019
Areeiro;2ndQ2019;3125
Areeiro;3rdQ2019;3289
Areeiro;4thQ2019;3167
Areeiro;1stq2020;3312
Areeiro;2ndQ2020;3321
Areeiro;3rdQ2020;3380
Areeiro;4thQ2020;3380
Areeiro;1stq2021;3359
Areeiro;2ndQ2021;3395
Areeiro;3rdQ2021;3382
Areeiro;4thQ2021;3382
Areeiro;1stq2022;3566
Areeiro;2ndQ2022;3655
Arroios;1stq2018;2587
Arroios;2ndQ2018;2793
Arroios;3rdQ2018;2919
Arroios;4thQ2018;3000
Arroios;1stq2019;3194
Arroios;2ndQ2019;3264
Arroios;3rdQ2019;3279
Arroios;4thQ2019;3274
Arroios;1stq2020;3277
Arroios;2ndQ2020;3380
Arroios;3rdQ2020;3538
Arroios;4thQ2020;3538
Arroios;1stq2021;3541
Arroios;2ndQ2021;3375
Arroios;3rdQ2021;3315
Arroios;4thQ2021;3315
Arroios;1stq2022;3634
Arroios;2ndQ2022;3710
Avenidas Novas;1stq2018;3070
Avenidas Novas;2ndQ2018;3338
Avenidas Novas;3rdQ2018;3565
Avenidas Novas;4thQ2018;3595
Avenidas Novas;1stq2019;3741
Avenidas Novas;2ndQ2019;3778
Avenidas Novas;3rdQ2019;3821
Avenidas Novas;4thQ2019;3892
Avenidas Novas;1stq2020;3841
Avenidas Novas;2ndQ2020;3745
Avenidas Novas;3rdQ2020;3645
Avenidas Novas;4thQ2020;3645
Avenidas Novas;1stq2021;3621
Avenidas Novas;2ndQ2021;3861
Avenidas Novas;3rdQ2021;4167
Avenidas Novas;4thQ2021;4167
Avenidas Novas;1stq2022;4182
Avenidas Novas;2ndQ2022;4214
Belém;1stq2018;2736
Belém;2ndQ2018;2877
Belém;3rdQ2018;3207
Belém;4thQ2018;3426
Belém;1stq2019;3426
Belém;2ndQ2019;3571
Belém;3rdQ2019;3543
Belém;4thQ2019;3542
Belém;1stq2020;3542
Belém;2ndQ2020;3522
Belém;3rdQ2020;3577
Belém;4thQ2020;3577
Belém;1stq2021;3653
Belém;2ndQ2021;3647
Belém;3rdQ2021;3743
Belém;4thQ2021;3743
Belém;1stq2022;3904
